"GeneEnsembl","logFC","logCPM","LR","PValue","regulation","absLogFc","geneId","FDR"
"ENSG00000168385",1.15073077068857,9.62634989697248,45.4380867696868,1.57540864363425e-11,"ns",1.15073077068857,"SEPTIN2","5.56e-10"
"ENSG00000167005",1.02017097051895,6.26469899299671,45.3590704141123,1.64026602041036e-11,"ns",1.02017097051895,"NUDT21","5.77e-10"
"ENSG00000111145",1.36759982261131,4.71134358167356,45.3187366862848,1.67439574657251e-11,"ns",1.36759982261131,"ELK3","5.87e-10"
"ENSG00000113761",2.05372181600232,3.61350450304523,45.1533464246582,1.82194108025343e-11,"up",2.05372181600232,"ZNF346","6.36e-10"
"ENSG00000103415",-1.81067581623385,4.62762364178275,45.0729040991808,1.89833928595752e-11,"down",1.81067581623385,"HMOX2","6.62e-10"
"ENSG00000077420",-1.50751293934557,5.54062247835403,45.0673783635524,1.90370341276443e-11,"down",1.50751293934557,"APBB1IP","6.62e-10"
"ENSG00000134539",-2.06301582028343,5.03853433645852,44.749094097119,2.23970546043417e-11,"down",2.06301582028343,"KLRD1","7.72e-10"
"ENSG00000127184",-1.05960930780874,6.83205878519709,44.7092839689448,2.28570946543999e-11,"ns",1.05960930780874,"COX7C","7.83e-10"
"ENSG00000144674",-1.58682628573553,5.22189542265604,44.6698142366152,2.33225374871526e-11,"down",1.58682628573553,"GOLGA4","7.98e-10"
"ENSG00000154917",1.58556714963473,5.00208990289234,44.6381009927875,2.37033768425339e-11,"up",1.58556714963473,"RAB6B","8.09e-10"
"ENSG00000051523",-1.85624761823534,5.0422711503512,44.6083000737509,2.40669222735261e-11,"down",1.85624761823534,"CYBA","8.20e-10"
"ENSG00000115762",1.02154240113503,6.11588010063242,44.5316165676548,2.50282584155856e-11,"ns",1.02154240113503,"PLEKHB2","8.49e-10"
"ENSG00000151575",1.41852936197622,6.45068253214076,44.5255064474403,2.5106490768057e-11,"ns",1.41852936197622,"TEX9","8.50e-10"
"ENSG00000177076",1.5444475945338,4.39243422798452,44.367483834262,2.72170374900573e-11,"up",1.5444475945338,"ACER2","9.17e-10"
"ENSG00000197728",-1.57810719632221,7.62164505972616,44.2724127128572,2.85714388134931e-11,"down",1.57810719632221,"RPS26","9.59e-10"
"ENSG00000164346",-1.70578214294929,4.49313496714277,44.0832158302709,3.14707908563186e-11,"down",1.70578214294929,"NSA2","1.05e-09"
"ENSG00000006125",1.13655097357308,7.25943523750341,44.0679771595831,3.17167511359583e-11,"ns",1.13655097357308,"AP2B1","1.06e-09"
"ENSG00000117616",-1.66300387318874,5.16731110436343,44.0481039952947,3.20404076980887e-11,"down",1.66300387318874,"RSRP1","1.07e-09"
"ENSG00000136490",-1.75549418465972,4.2117196603665,43.9837919319816,3.31106334851418e-11,"down",1.75549418465972,"LIMD2","1.10e-09"
"ENSG00000113391",-1.90353197760087,3.9147438429855,43.9136558656691,3.43186072374041e-11,"down",1.90353197760087,"FAM172A","1.14e-09"
"ENSG00000198887",-1.57106829837989,5.59645049257177,43.9097596172608,3.4386992171138e-11,"down",1.57106829837989,"SMC5","1.14e-09"
"ENSG00000174720",-1.26477657069228,5.05193819846472,43.8869398652869,3.47902602317322e-11,"ns",1.26477657069228,"LARP7","1.15e-09"
"ENSG00000088179",-1.85650730060521,4.8213454258674,43.7854393897306,3.66420979169284e-11,"down",1.85650730060521,"PTPN4","1.21e-09"
"ENSG00000198000",-1.70999261178303,5.15820917245288,43.7512155886327,3.7288484490834e-11,"down",1.70999261178303,"NOL8","1.22e-09"
"ENSG00000170144",-1.05116511928807,5.5478295102461,43.7412099232692,3.74796092194064e-11,"ns",1.05116511928807,"HNRNPA3","1.23e-09"
"ENSG00000130811",-1.15818418788081,6.33018402240842,43.6236810011821,3.97993757770592e-11,"ns",1.15818418788081,"EIF3G","1.30e-09"
"ENSG00000198399",-1.26125715026594,6.48546008532954,43.5652139627416,4.10063771928667e-11,"ns",1.26125715026594,"ITSN2","1.33e-09"
"ENSG00000142102",-3.53552094986761,3.80592587437558,43.475343920714,4.29334980509299e-11,"down",3.53552094986761,"PGGHG","1.39e-09"
"ENSG00000026025",-1.22858846861396,6.72249768000853,43.3499847685354,4.57739803396522e-11,"ns",1.22858846861396,"VIM","1.47e-09"
"ENSG00000104964",-1.5831461434854,4.0019414680385,43.1124362022557,5.16826970593303e-11,"down",1.5831461434854,"TLE5","1.66e-09"
"ENSG00000047617",1.77422389353586,3.74758286606088,43.060727804986,5.30668382515189e-11,"up",1.77422389353586,"ANO2","1.69e-09"
"ENSG00000172932",-2.71632686889629,3.40530183960862,42.9848553946583,5.51652536010672e-11,"down",2.71632686889629,"ANKRD13D","1.76e-09"
